temps,interieur_recipient,interieur_serre,ambiance,contre_recipient
92,26.4960155,27.9726658,26.4795208,27.6369095
93,26.4918709,27.9798508,26.4971313,27.6466446
94,26.488203,27.9741478,26.5049725,27.6432877
95,26.5024548,27.9869537,26.5055885,27.642168
96,26.4930744,27.9951191,26.535099,27.6476498
97,26.4939156,28.0011024,26.5886879,27.6433716
98,26.4991779,27.9920139,26.5999985,27.6421967
99,26.4928226,27.9983902,26.6342106,27.6442108
100,26.4915066,27.9995632,26.6769314,27.6317081
101,26.4904709,28.000515,26.7679386,27.6310081
102,26.4878387,28.0039253,26.7945328,27.6362667
103,26.4911423,28.0110283,26.827198,27.625946
104,26.497694,28.006443,26.8602543,27.6345329
105,26.4908352,28.0115871,26.8523617,27.6289673
106,26.4843941,28.0191078,26.8304176,27.6313992
107,26.4822102,28.0003185,26.714386,27.6246586
108,26.4896011,28.0074482,26.6795616,27.664587
109,26.5213985,28.0441189,26.7161102,27.6477776
110,26.5261021,28.0513039,26.7378902,27.6431904
111,26.5161896,28.0375481,26.743433,27.6545181
112,26.5173931,28.0376053,26.7297726,27.6473312
113,26.5133629,28.0455723,26.7526703,27.6484776
114,26.5175343,28.0468311,26.7589684,27.6398354
115,26.5073414,28.0466633,26.8914223,27.6436386
116,26.5036736,28.0399818,27.0143738,27.6351357
117,26.5052986,28.0436153,27.057024,27.6315842
118,26.5089664,28.0476418,27.0698414,27.6338482
119,26.5087147,28.0449581,27.1145306,27.6301003
120,26.5138664,28.0464115,27.0744572,27.6370106
121,26.5001183,28.031929,27.1296139,27.6392479
122,26.5107307,28.0394497,27.1654034,27.6376534
123,26.5030022,28.0388069,27.1839848,27.6327305
124,26.5038414,28.0390587,27.1894417,27.6378498
125,26.5052147,28.0420513,27.1718121,27.6227722
126,26.5199699,28.0316505,27.0907459,27.6649876
127,26.5528984,28.0673656,27.0323658,27.6568203
128,26.5426788,28.0543365,26.9514008,27.6628056
129,26.5411949,28.0675621,26.8975773,27.6583862
130,26.5282326,28.0644588,26.8633194,27.6617432
131,26.5398788,28.0600414,26.8040333,27.6528759
132,26.5372486,28.0533581,26.7752857,27.6589737
133,26.5414467,28.0604877,26.7152405,27.6435337
134,26.5431557,28.0633392,26.6971283,27.6481495
135,26.5462914,28.0593967,26.6757965,27.644989
136,26.5545235,28.0597057,26.6267757,27.6539669
137,26.5500717,28.0510101,26.5766048,27.6472549
138,26.5455914,28.0537777,26.5760174,27.6468353
139,26.5521431,28.0437679,26.5531425,27.6458549
140,26.5513878,28.0544491,26.5381641,27.6444016
141,26.5608501,28.0426216,26.5544872,27.6474228
142,26.5666733,28.0446072,26.5970154,27.6382484
143,26.5532074,28.0486336,26.6280632,27.643898
144,26.562418,28.0473747,26.6231365,27.6599731
145,26.5813618,28.0690899,26.6569748,27.6589394
146,26.5860367,28.058466,26.6349983,27.6619873
147,26.5958347,28.0506649,26.6052094,27.6680851
148,26.5803814,28.0451012,26.6014862,27.665987
149,26.5862598,28.0347271,26.601263,27.6598339
150,26.6032543,28.0335808,26.5974827,27.6573162
151,26.5891171,28.0357895,26.6286983,27.6583786
