Temps,Teau,Tis,Tamb,Tcr
393,26.7533569,28.1966763,26.0302563,27.6608219
394,26.7534466,28.1968079,26.0306416,27.6609383
395,26.7538033,28.1969738,26.0307846,27.6613255
396,26.7539978,28.1970577,26.0322113,27.66152
397,26.7540283,28.1977711,26.0324135,27.6617432
398,26.7540836,28.1994076,26.0326786,27.6617584
399,26.7541676,28.2002735,26.0334949,27.6617584
400,26.7542725,28.2008038,26.0336628,27.6619873
401,26.7543373,28.202383,26.0338001,27.6623592
402,26.7548466,28.203846,26.0345974,27.6627235
403,26.7553215,28.2041321,26.034996,27.6628056
404,26.7553902,28.2041531,26.035181,27.6641235
405,26.7556248,28.2070408,26.0358181,27.6643791
406,26.7557697,28.2081547,26.0359936,27.664587
407,26.7562389,28.2083511,26.0362396,27.6649876
408,26.7563019,28.2084103,26.0365276,27.665987
409,26.7563152,28.2088375,26.0365562,27.6678085
410,26.7569447,28.2090874,26.0374355,27.6680851
411,26.7571068,28.2095127,26.0394363,27.6682014
412,26.757267,28.210701,26.0400963,27.6683178
413,26.7574711,28.2108345,26.0401096,27.6683216
414,26.7574711,28.2130775,26.0403099,27.6685925
415,26.7575283,28.2133026,26.04076,27.6688709
416,26.7576389,28.2144451,26.0412922,27.6688995
417,26.7577991,28.2145309,26.0418129,27.6689377
418,26.7579269,28.2148666,26.0419865,27.6690445
419,26.7584572,28.2153187,26.0421085,27.6697216
420,26.7587872,28.2154579,26.0421867,27.6703587
421,26.7588425,28.2155647,26.042305,27.67103
422,26.7588444,28.2155933,26.0431614,27.6711197
423,26.7589054,28.2161808,26.0434666,27.6711922
424,26.7593937,28.2180271,26.0437031,27.6725731
425,26.7595425,28.2190666,26.0439682,27.6725845
426,26.7596626,28.2194176,26.0452175,27.6734409
427,26.7597904,28.2194233,26.045454,27.673748
428,26.7600422,28.2196445,26.0454597,27.6738224
429,26.7600803,28.220602,26.0456543,27.6739674
430,26.7603054,28.2216644,26.0457897,27.6754265
431,26.7604942,28.2220497,26.0463581,27.6759758
432,26.7605228,28.2223854,26.0464344,27.6760311
433,26.7605782,28.2226982,26.0473175,27.6764507
434,26.7606068,28.2229176,26.0473461,27.6765347
435,26.7607517,28.2230511,26.0477219,27.6766186
436,26.7608528,28.2238178,26.0481911,27.6766758
437,26.7608852,28.2238407,26.0487461,27.6767597
438,26.7609768,28.2241249,26.0492496,27.676815
439,26.7614746,28.2244148,26.0501118,27.6769924
440,26.7615871,28.2245445,26.0508957,27.6771049
441,26.7622299,28.2246227,26.0520649,27.6776829
442,26.7622585,28.2256508,26.0522499,27.679203
443,26.7625446,28.2259369,26.0529194,27.6794262
444,26.7626495,28.226469,26.0531158,27.6794643
445,26.7627029,28.2266827,26.0538769,27.6797237
446,26.7629547,28.226696,26.0538788,27.6797333
447,26.7631321,28.2267208,26.0540009,27.6797714
448,26.7633209,28.2270927,26.0540714,27.6798286
449,26.7637978,28.2278099,26.0545979,27.6801357
450,26.763937,28.2280045,26.054739,27.6801987
451,26.7641354,28.2282066,26.0554352,27.6803303
452,26.7642593,28.2282696,26.0554428,27.6807594
453,26.7643585,28.2284851,26.0555096,27.6812611
454,26.764595,28.2291985,26.0559959,27.6814785
455,26.7646008,28.2293701,26.0559998,27.6818409
456,26.7647762,28.2296543,26.057085,27.6821899
457,26.764782,28.2300453,26.0574055,27.6822891
458,26.765007,28.2303753,26.0584507,27.6828098
459,26.7650375,28.2309685,26.058836,27.6830006
460,26.7654266,28.2311134,26.0589275,27.6830444
461,26.7655125,28.2311687,26.0589924,27.6839752
462,26.7655334,28.2320995,26.0592728,27.6840515
463,26.7655373,28.2328148,26.0598621,27.6844978
464,26.7656116,28.2331276,26.0599251,27.6846676
465,26.7659111,28.233429,26.0603142,27.6847229
466,26.7659435,28.2335453,26.0603943,27.6847305
467,26.7660427,28.2338486,26.0604763,27.6850147
468,26.7660694,28.2347126,26.0609875,27.6851521
469,26.7660694,28.2347698,26.0614109,27.6853752
470,26.7663307,28.2350769,26.0624046,27.6856441
471,26.766737,28.2356911,26.062582,27.6856518
472,26.7668495,28.2361336,26.0631027,27.6857281
473,26.7669106,28.2364731,26.0631161,27.6865692
474,26.7671127,28.2365303,26.0643806,27.6870708
475,26.7671852,28.2371941,26.0646763,27.6872673
476,26.7673817,28.2375011,26.0648003,27.6883945
477,26.7674656,28.2375603,26.0652981,27.6883945
478,26.7675476,28.2375889,26.0655003,27.6889
479,26.7675495,28.2376652,26.0655003,27.6889839
480,26.7676888,28.2378368,26.066246,27.6894493
481,26.7677174,28.2378635,26.0666504,27.6895123
482,26.7677517,28.237896,26.0667496,27.6895332
483,26.7680035,28.2379017,26.0670986,27.6895695
484,26.7680035,28.2379417,26.0675468,27.6899338
485,26.7680569,28.2382946,26.0676041,27.6900539
486,26.7681942,28.2386971,26.0677395,27.690073
487,26.7682476,28.2390518,26.0679779,27.6905479
488,26.7682953,28.2390518,26.0681267,27.6906319
489,26.7683678,28.2395725,26.0681782,27.6918545
490,26.7686119,28.2403755,26.0686874,27.6919098
491,26.7686958,28.2407513,26.0693913,27.6928139
492,26.7687016,28.2410641,26.069418,27.6932888
493,26.7689552,28.2420292,26.0702362,27.693346
494,26.7690277,28.2428856,26.0703545,27.6942024
495,26.7690659,28.2433529,26.0704021,27.694231
496,26.7691689,28.2437649,26.071352,27.694706
497,26.7691917,28.2450275,26.0716667,27.6951332
498,26.769207,28.2461052,26.0724659,27.6951618
499,26.769228,28.2466164,26.0725727,27.6954727
500,26.7692642,28.2474766,26.0728912,27.6956596
501,26.7693748,28.2476234,26.0730515,27.6958256
502,26.7697411,28.2477055,26.0732174,27.6977081
503,26.7698708,28.247879,26.0732288,27.6977825
504,26.7701797,28.2484627,26.0732746,27.6978683
505,26.770546,28.248476,26.0738392,27.6979237
506,26.7706642,28.2484894,26.0746231,27.6981544
507,26.7707253,28.2490501,26.0746288,27.6981754
508,26.7708702,28.2495022,26.074831,27.6996574
509,26.7709999,28.2500057,26.0751076,27.7000484
510,26.7713013,28.2501297,26.0752773,27.7002525
511,26.7716637,28.2507725,26.0770092,27.7002716
512,26.771719,28.250845,26.0773602,27.7009811
513,26.7717266,28.251421,26.0781326,27.7012234
514,26.7718868,28.2515144,26.0781822,27.7017059
515,26.7721748,28.2517376,26.0786514,27.7025375
516,26.7722225,28.2521439,26.0797501,27.7025948
517,26.7725277,28.2541485,26.0798435,27.7028809
518,26.7725945,28.2548046,26.0801487,27.7035732
519,26.7726021,28.2548542,26.080904,27.7038326
520,26.772644,28.2556515,26.0812798,27.7038536
521,26.7727833,28.2558327,26.0818577,27.7038822
522,26.7728443,28.2561398,26.0818806,27.7041397
523,26.7731895,28.2564468,26.0822926,27.7055111
524,26.7734127,28.2570057,26.0840645,27.705904
525,26.7735386,28.2571335,26.0842915,27.7059784
526,26.7735825,28.2573299,26.0853176,27.7061462
527,26.7735939,28.2587128,26.0859222,27.7062302
528,26.7738266,28.2596226,26.0859413,27.7064247
529,26.774086,28.2597733,26.0859776,27.7066784
530,26.7741566,28.2600193,26.0861282,27.706768
531,26.7741623,28.2603912,26.0873756,27.7068806
532,26.7742176,28.2606735,26.0888195,27.7070408
533,26.7742252,28.2613544,26.0889301,27.7070694
534,26.7745094,28.2650356,26.088995,27.7077675
535,26.7745705,28.265646,26.0894184,27.707859
536,26.7747421,28.2662468,26.0897675,27.7083092
537,26.7747955,28.2667675,26.0899639,27.7086163
538,26.7748547,28.2670193,26.090147,27.7088032
539,26.7749939,28.2670975,26.0901585,27.7095661
540,26.7750244,28.2681007,26.0916939,27.7097645
541,26.7751617,28.2684059,26.0917492,27.7097645
542,26.7752094,28.2684631,26.0921745,27.7102928
543,26.7752743,28.2685223,26.092989,27.7103481
544,26.7753639,28.2696133,26.0940895,27.7109013
